NAME,county,total_housing_units,fuel_oil_kerosene_units,fuel_oil_pct,median_household_income,total_population,white_alone_population,minority_population,minority_pct
Census Tract 319; Bronx County; New York,Bronx,4,4,100.0,,762,450,312,40.94488188976378
Census Tract 323; Bronx County; New York,Bronx,2725,544,19.963302752293576,101512.0,4811,3298,1513,31.448763250883395
Census Tract 324; Bronx County; New York,Bronx,1256,303,24.12420382165605,40955.0,2963,453,2510,84.71144110698616
Census Tract 326; Bronx County; New York,Bronx,1061,367,34.59000942507069,99962.0,3440,1175,2265,65.84302325581395
Census Tract 328; Bronx County; New York,Bronx,1463,615,42.03691045796309,49422.0,4056,720,3336,82.24852071005917
Census Tract 330; Bronx County; New York,Bronx,2164,618,28.558225508317932,48750.0,5016,1746,3270,65.19138755980862
Census Tract 332.01; Bronx County; New York,Bronx,2311,1145,49.54565123323237,35400.0,4123,1586,2537,61.5328644191123
Census Tract 332.02; Bronx County; New York,Bronx,1481,528,35.65158676569885,47557.0,3415,489,2926,85.68081991215227
Census Tract 334; Bronx County; New York,Bronx,4,0,0.0,,26,1,25,96.15384615384616
Census Tract 335; Bronx County; New York,Bronx,761,205,26.938239159001316,106597.0,2213,1303,910,41.120650700406685
Census Tract 336.01; Bronx County; New York,Bronx,2178,455,20.890725436179984,23453.0,5011,344,4667,93.13510277389743
