tract,county,GEOID,FuelOilEstimate,TotalHouseholds,FuelOilPercent
203,New York,NewYork203,156.0,448.0,34.82
205,New York,NewYork205,372.0,1230.0,30.24
206,New York,NewYork206,226.0,1688.0,13.39
207.01,New York,NewYork207.01,70.0,1082.0,6.47
208,New York,NewYork208,132.0,2256.0,5.85
209.01,New York,NewYork209.01,263.0,1423.0,18.48
210,New York,NewYork210,202.0,3368.0,6.0
211,New York,NewYork211,875.0,4345.0,20.14
212,New York,NewYork212,137.0,2640.0,5.19
213.03,New York,NewYork213.03,621.0,2385.0,26.04
214,New York,NewYork214,158.0,2126.0,7.43
215,New York,NewYork215,124.0,1796.0,6.9
216,New York,NewYork216,763.0,3278.0,23.28
217.03,New York,NewYork217.03,0.0,0.0,
218,New York,NewYork218,373.0,3041.0,12.27
219,New York,NewYork219,497.0,1971.0,25.22
220,New York,NewYork220,206.0,2958.0,6.96
221.02,New York,NewYork221.02,260.0,1160.0,22.41
222,New York,NewYork222,108.0,1536.0,7.03
223.01,New York,NewYork223.01,544.0,2614.0,20.81
223.02,New York,NewYork223.02,160.0,1341.0,11.93
224,New York,NewYork224,703.0,2812.0,25.0
225,New York,NewYork225,1218.0,3845.0,31.68
226,New York,NewYork226,443.0,2015.0,21.99
227,New York,NewYork227,977.0,2252.0,43.38
228,New York,NewYork228,355.0,2911.0,12.2
229,New York,NewYork229,1360.0,2979.0,45.65
230,New York,NewYork230,899.0,3888.0,23.12
231,New York,NewYork231,800.0,2589.0,30.9
232,New York,NewYork232,849.0,3484.0,24.37
233,New York,NewYork233,960.0,2645.0,36.29
234,New York,NewYork234,398.0,2446.0,16.27
235.01,New York,NewYork235.01,732.0,2692.0,27.19
235.02,New York,NewYork235.02,201.0,817.0,24.6
236,New York,NewYork236,565.0,4240.0,13.33
237,New York,NewYork237,1033.0,2566.0,40.26
238.02,New York,NewYork238.02,0.0,1984.0,0.0
238.03,New York,NewYork238.03,39.0,1630.0,2.39
238.04,New York,NewYork238.04,62.0,1532.0,4.05
239,New York,NewYork239,261.0,1216.0,21.46
240,New York,NewYork240,0.0,0.0,
241,New York,NewYork241,882.0,3264.0,27.02
242,New York,NewYork242,97.0,1918.0,5.06
243.01,New York,NewYork243.01,241.0,1586.0,15.2
243.02,New York,NewYork243.02,378.0,2648.0,14.27
245,New York,NewYork245,1113.0,5363.0,20.75
247,New York,NewYork247,523.0,2672.0,19.57
249,New York,NewYork249,40.0,443.0,9.03
251,New York,NewYork251,113.0,848.0,13.33
253,New York,NewYork253,839.0,4072.0,20.6
255,New York,NewYork255,563.0,1801.0,31.26
257,New York,NewYork257,532.0,2085.0,25.52
259,New York,NewYork259,175.0,1801.0,9.72
261,New York,NewYork261,352.0,3698.0,9.52
263,New York,NewYork263,476.0,2810.0,16.94
265,New York,NewYork265,973.0,2959.0,32.88
267,New York,NewYork267,78.0,563.0,13.85
269,New York,NewYork269,444.0,2428.0,18.29
271,New York,NewYork271,670.0,3066.0,21.85
273,New York,NewYork273,1034.0,3174.0,32.58
275,New York,NewYork275,537.0,1762.0,30.48
277,New York,NewYork277,369.0,2056.0,17.95
279,New York,NewYork279,1132.0,4313.0,26.25
281,New York,NewYork281,386.0,1522.0,25.36
283,New York,NewYork283,1000.0,3278.0,30.51
285,New York,NewYork285,854.0,2479.0,34.45
287,New York,NewYork287,465.0,1678.0,27.71
291,New York,NewYork291,837.0,4033.0,20.75
293,New York,NewYork293,893.0,2911.0,30.68
295,New York,NewYork295,720.0,3309.0,21.76
297,New York,NewYork297,0.0,0.0,
299,New York,NewYork299,195.0,1409.0,13.84
303,New York,NewYork303,545.0,1725.0,31.59
307,New York,NewYork307,929.0,1821.0,51.02
309,New York,NewYork309,494.0,3585.0,13.78
311,New York,NewYork311,0.0,0.0,
317.03,New York,NewYork317.03,43.0,2584.0,1.66
317.04,New York,NewYork317.04,299.0,4725.0,6.33
319,New York,NewYork319,0.0,0.0,
